Pickup Location,Request to Pickup,Hour of Day,Time of Day,Month of Year
91,316.0,8,morning,1
177,356.0,16,afternoon,10
80,556.0,3,night,8
196,423.0,17,evening,7
165,155.0,21,night,1
170,89.0,11,morning,3
127,277.0,14,afternoon,8
117,287.0,8,morning,6
232,565.0,12,afternoon,3
162,344.0,8,morning,6
71,191.0,16,afternoon,9
140,40.0,12,afternoon,6
87,169.0,16,afternoon,8
163,611.0,14,afternoon,12
166,348.0,7,morning,11
230,89.0,8,morning,9
169,402.0,14,afternoon,6
233,403.0,12,afternoon,6
107,663.0,8,morning,12
174,341.0,5,night,5
42,61.00000000000001,0,night,1
80,236.00000000000003,13,afternoon,2
239,62.00000000000001,15,afternoon,5
161,251.00000000000003,9,morning,3
196,262.0,17,evening,7
146,432.0,21,night,7
249,477.00000000000006,14,afternoon,2
48,95.0,10,morning,12
40,264.0,16,afternoon,11
78,-900.0,11,morning,7
79,793.0,1,night,7
82,303.0,22,night,7
165,290.0,8,morning,2
148,233.00000000000003,4,night,8
62,621.0,8,morning,9
76,248.00000000000003,20,night,11
48,202.0,23,night,4
167,275.0,16,afternoon,4
167,447.0,16,afternoon,2
141,403.0,14,afternoon,10
188,383.0,17,evening,2
69,185.0,16,afternoon,3
132,312.0,9,morning,8
107,182.0,19,evening,5
206,623.0,12,afternoon,11
76,201.0,10,morning,10
7,197.0,23,night,1
3,157.0,22,night,8
65,340.0,16,afternoon,8
231,283.0,16,afternoon,9
112,500.00000000000006,4,night,9
132,199.0,12,afternoon,5
148,444.0,2,night,12
42,316.0,6,morning,11
37,441.0,0,night,5
142,187.0,23,night,4
33,484.00000000000006,15,afternoon,2
119,79.0,16,afternoon,5
230,435.0,22,night,5
168,188.0,6,morning,5
37,479.00000000000006,7,morning,6
79,400.0,23,night,2
36,664.0,6,morning,1
231,173.0,14,afternoon,8
168,238.00000000000003,21,night,10
233,182.0,22,night,7
63,113.0,15,afternoon,2
249,191.0,18,evening,2
60,537.0,11,morning,10
79,623.0,23,night,7
13,62.00000000000001,8,morning,7
20,446.0,14,afternoon,7
216,199.0,17,evening,4
82,216.0,13,afternoon,7
205,246.00000000000003,22,night,8
255,845.0,4,night,7
20,474.00000000000006,22,night,7
79,199.0,11,morning,12
189,230.00000000000003,21,night,5
74,400.0,22,night,10
116,382.0,16,afternoon,1
248,265.0,8,morning,9
142,180.0,19,evening,7
76,361.0,15,afternoon,6
68,166.0,10,morning,4
257,477.00000000000006,22,night,12
116,462.00000000000006,18,evening,9
239,403.0,21,night,10
220,187.0,2,night,9
148,256.0,21,night,8
36,374.0,21,night,8
155,200.0,12,afternoon,8
241,217.0,21,night,11
89,353.0,19,evening,8
198,229.00000000000003,7,morning,6
260,328.0,21,night,9
144,420.0,19,evening,6
61,325.0,9,morning,8
95,247.00000000000003,11,morning,10
17,129.0,23,night,1
232,265.0,9,morning,8
132,435.0,13,afternoon,1
178,320.0,18,evening,3
48,136.0,16,afternoon,2
61,414.0,13,afternoon,4
256,930.0,2,night,1
78,252.00000000000003,14,afternoon,2
87,134.0,21,night,12
165,160.0,19,evening,2
242,260.0,7,morning,7
258,227.0,14,afternoon,4
82,73.0,14,afternoon,12
150,388.0,23,night,6
239,316.0,21,night,4
249,256.0,0,night,1
85,412.0,11,morning,4
142,1337.0,23,night,1
236,225.0,19,evening,2
79,121.0,5,night,2
66,182.0,10,morning,4
50,156.0,9,morning,6
256,238.00000000000003,21,night,1
91,343.0,12,afternoon,6
248,177.0,20,night,1
79,184.0,1,night,9
112,269.0,15,afternoon,2
231,474.00000000000006,4,night,4
200,246.00000000000003,13,afternoon,11
78,191.0,19,evening,1
113,354.0,21,night,4
79,250.00000000000003,15,afternoon,6
174,371.0,0,night,8
145,271.0,19,evening,5
132,503.00000000000006,20,night,4
163,235.00000000000003,22,night,6
129,396.0,16,afternoon,11
124,257.0,23,night,8
162,126.0,13,afternoon,8
14,363.0,9,morning,6
231,217.0,14,afternoon,5
86,613.0,6,morning,4
262,199.0,13,afternoon,1
144,491.00000000000006,22,night,1
48,128.0,10,morning,2
79,498.00000000000006,14,afternoon,10
97,208.0,14,afternoon,12
142,166.0,14,afternoon,2
164,209.0,7,morning,5
212,139.0,22,night,4
126,111.0,12,afternoon,2
173,1017.0,11,morning,3
216,345.0,14,afternoon,4
127,131.0,9,morning,1
213,395.0,22,night,7
184,149.0,16,afternoon,11
138,390.0,15,afternoon,7
67,447.0,7,morning,8
228,162.0,19,evening,1
72,281.0,20,night,8
100,132.0,17,evening,8
114,151.0,9,morning,1
79,694.0,1,night,9
238,193.0,21,night,10
124,206.0,18,evening,3
62,290.0,13,afternoon,5
138,415.0,19,evening,9
141,215.0,11,morning,6
85,344.0,6,morning,4
43,59.00000000000001,10,morning,8
262,133.0,11,morning,2
41,339.0,22,night,3
115,356.0,6,morning,4
26,227.0,14,afternoon,6
